Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,10539,21929372.78,15822372.29
Sucursal Norte,Fanta,2020,1,2158,4174681.62,2742935.56
Sucursal Norte,Sprite,2020,1,8793,18223456.48,12346732.51
Sucursal Norte,7 Up,2020,1,970,1405294.12,1021888.7
Sucursal Norte,Pepsi,2020,1,8718,14476024.73,10613188.22
Sucursal Centro,Coca Cola,2020,1,10664,21435499.14,16177922.49
Sucursal Centro,Fanta,2020,1,2137,3557299.49,2209556.4
Sucursal Centro,Sprite,2020,1,7301,13096632.04,9557799.36
Sucursal Centro,7 Up,2020,1,953,1399934.62,991463.6
Sucursal Centro,Pepsi,2020,1,7709,13058965.35,8228106.7
Sucursal Sur,Coca Cola,2020,1,10521,19577500.83,15191936.09
Sucursal Sur,Fanta,2020,1,1964,3737122.25,2901219.31
Sucursal Sur,Sprite,2020,1,8475,16379877.01,10415394.74
Sucursal Sur,7 Up,2020,1,1070,1542029.54,1039588.89
Sucursal Sur,Pepsi,2020,1,8062,14663194.07,10674226.35
Sucursal Norte,Coca Cola,2020,2,10053,18655598.99,13129197.68
Sucursal Norte,Fanta,2020,2,2060,3822726.95,2796383.38
Sucursal Norte,Sprite,2020,2,7819,16208651.24,12337638.6
Sucursal Norte,7 Up,2020,2,1087,1594881.94,1245400.6
Sucursal Norte,Pepsi,2020,2,8390,12909491.19,9603047.4
Sucursal Centro,Coca Cola,2020,2,10596,21406757.57,14197710.68
Sucursal Centro,Fanta,2020,2,1977,3315169.39,2638076.38
Sucursal Centro,Sprite,2020,2,8430,17148393.55,10591989.81
Sucursal Centro,7 Up,2020,2,952,1421975.41,1021120.8
Sucursal Centro,Pepsi,2020,2,8143,14622684.33,9648153.07
Sucursal Sur,Coca Cola,2020,2,9573,19370613.59,11913054.73
Sucursal Sur,Fanta,2020,2,1924,3430403.63,2474945.08
Sucursal Sur,Sprite,2020,2,7232,14076710.22,8755799.85
Sucursal Sur,7 Up,2020,2,919,1244533.08,945772.71
Sucursal Sur,Pepsi,2020,2,7680,11845136.73,8625551.33
Sucursal Norte,Coca Cola,2020,3,10396,20831492.5,12663920.93
Sucursal Norte,Fanta,2020,3,2002,3589990.54,2842826.29
Sucursal Norte,Sprite,2020,3,8134,15799334.76,10239017.83
Sucursal Norte,7 Up,2020,3,1017,1379205.95,931957.69
Sucursal Norte,Pepsi,2020,3,8652,13397936.16,8552449.15
Sucursal Centro,Coca Cola,2020,3,9863,20293551.23,12563071.89
Sucursal Centro,Fanta,2020,3,1823,3121636.01,2271189.92
Sucursal Centro,Sprite,2020,3,8663,17869449.89,12041155.34
Sucursal Centro,7 Up,2020,3,938,1392340.5,927522.57
Sucursal Centro,Pepsi,2020,3,7941,12797921.84,8553141.43
Sucursal Sur,Coca Cola,2020,3,10525,21873583.83,15479662.28
Sucursal Sur,Fanta,2020,3,2121,4073963.56,3251640.1
Sucursal Sur,Sprite,2020,3,8370,16951777.13,11280790.73
Sucursal Sur,7 Up,2020,3,1029,1451125.5,939793.91
Sucursal Sur,Pepsi,2020,3,7481,13440965.9,9308429.55
Sucursal Norte,Coca Cola,2020,4,9897,17960543.57,13967558.02
Sucursal Norte,Fanta,2020,4,2035,3600315.38,2815927.91
Sucursal Norte,Sprite,2020,4,7443,13793283.34,8624623.79
Sucursal Norte,7 Up,2020,4,1039,1456355.89,899800.28
Sucursal Norte,Pepsi,2020,4,7312,12845228.89,8104542.64
Sucursal Centro,Coca Cola,2020,4,10846,23100835.75,14473416.55
Sucursal Centro,Fanta,2020,4,1902,3481567.39,2755228.5
Sucursal Centro,Sprite,2020,4,8727,17344393.1,11763755.67
Sucursal Centro,7 Up,2020,4,944,1539046.07,1154596.26
Sucursal Centro,Pepsi,2020,4,7334,12203673.25,8288343.63
Sucursal Sur,Coca Cola,2020,4,9536,20418183.94,13152823.6
Sucursal Sur,Fanta,2020,4,1965,3309342.11,2117240.47
Sucursal Sur,Sprite,2020,4,7517,13674887.18,10428472.64
Sucursal Sur,7 Up,2020,4,1075,1457305.64,1036209.05
Sucursal Sur,Pepsi,2020,4,8799,15177789.12,11242133.55
Sucursal Norte,Coca Cola,2020,5,10509,19349802.97,12158394.38
Sucursal Norte,Fanta,2020,5,2104,4137281.52,3137682.0
Sucursal Norte,Sprite,2020,5,7780,15128520.34,10175639.0
Sucursal Norte,7 Up,2020,5,1011,1601967.95,1105356.52
Sucursal Norte,Pepsi,2020,5,7696,11852716.24,9456627.22
Sucursal Centro,Coca Cola,2020,5,9477,19784697.24,13393758.33
Sucursal Centro,Fanta,2020,5,2122,3600772.47,2212159.82
Sucursal Centro,Sprite,2020,5,8555,16975074.19,11474027.64
Sucursal Centro,7 Up,2020,5,1010,1614872.06,1250869.11
Sucursal Centro,Pepsi,2020,5,7243,11481195.6,8924471.23
Sucursal Sur,Coca Cola,2020,5,10166,20876399.51,15020039.47
Sucursal Sur,Fanta,2020,5,2057,3741930.84,2254548.22
Sucursal Sur,Sprite,2020,5,8103,14021176.56,9236268.7
Sucursal Sur,7 Up,2020,5,943,1442519.17,892664.26
Sucursal Sur,Pepsi,2020,5,8750,13732126.52,8783479.38
Sucursal Norte,Coca Cola,2020,6,10594,19619221.7,15662466.03
Sucursal Norte,Fanta,2020,6,2057,3730971.67,2439521.04
Sucursal Norte,Sprite,2020,6,8275,15293326.71,9971035.96
Sucursal Norte,7 Up,2020,6,957,1508046.18,1136838.57
Sucursal Norte,Pepsi,2020,6,7699,11819259.76,8393234.63
Sucursal Centro,Coca Cola,2020,6,10536,18984136.83,13514945.63
Sucursal Centro,Fanta,2020,6,1887,3423649.23,2635338.6
Sucursal Centro,Sprite,2020,6,8648,15172625.09,11608927.93
Sucursal Centro,7 Up,2020,6,956,1562421.68,1196549.17
Sucursal Centro,Pepsi,2020,6,7972,14848727.56,9370372.32
Sucursal Sur,Coca Cola,2020,6,10405,22643421.78,14504035.46
Sucursal Sur,Fanta,2020,6,1888,3471235.84,2465398.21
Sucursal Sur,Sprite,2020,6,7695,13857270.78,10017083.93
Sucursal Sur,7 Up,2020,6,1095,1658305.33,1298082.72
Sucursal Sur,Pepsi,2020,6,8214,13603457.95,8693995.51
Sucursal Norte,Coca Cola,2020,7,9297,19735185.33,15236634.32
Sucursal Norte,Fanta,2020,7,2012,3382212.97,2096678.86
Sucursal Norte,Sprite,2020,7,7564,14923145.44,9617422.84
Sucursal Norte,7 Up,2020,7,999,1445604.44,1154250.15
Sucursal Norte,Pepsi,2020,7,7607,13665378.77,8978767.18
Sucursal Centro,Coca Cola,2020,7,9492,18169631.26,13849148.47
Sucursal Centro,Fanta,2020,7,2156,4111917.68,2549357.4
Sucursal Centro,Sprite,2020,7,8094,14641145.77,9855389.36
Sucursal Centro,7 Up,2020,7,954,1295856.24,814334.41
Sucursal Centro,Pepsi,2020,7,7904,13301768.8,8464285.34
Sucursal Sur,Coca Cola,2020,7,10024,18292519.04,11552814.56
Sucursal Sur,Fanta,2020,7,2105,3907694.73,2993133.36
Sucursal Sur,Sprite,2020,7,8112,14302350.45,10203008.87
Sucursal Sur,7 Up,2020,7,1036,1611330.92,1107986.18
Sucursal Sur,Pepsi,2020,7,8076,12417819.69,9491610.94
Sucursal Norte,Coca Cola,2020,8,10451,18977276.26,14042679.71
Sucursal Norte,Fanta,2020,8,1898,3541003.52,2455890.87
Sucursal Norte,Sprite,2020,8,7791,16170044.07,12879201.26
Sucursal Norte,7 Up,2020,8,954,1352010.65,977673.61
Sucursal Norte,Pepsi,2020,8,7810,13692337.75,8640556.08
Sucursal Centro,Coca Cola,2020,8,9818,18825711.39,12488893.46
Sucursal Centro,Fanta,2020,8,2103,3527376.34,2674554.27
Sucursal Centro,Sprite,2020,8,7384,15403071.09,9569174.8
Sucursal Centro,7 Up,2020,8,1090,1754490.22,1135917.58
Sucursal Centro,Pepsi,2020,8,7296,12249608.6,8964061.57
Sucursal Sur,Coca Cola,2020,8,9132,19461623.71,12725540.58
Sucursal Sur,Fanta,2020,8,1824,3541842.15,2512456.21
Sucursal Sur,Sprite,2020,8,8749,15056981.18,9052577.77
Sucursal Sur,7 Up,2020,8,925,1505335.91,1002886.18
Sucursal Sur,Pepsi,2020,8,7813,14563353.71,10992392.02
Sucursal Norte,Coca Cola,2020,9,10389,21376008.6,15573394.82
Sucursal Norte,Fanta,2020,9,2190,3613788.25,2359519.31
Sucursal Norte,Sprite,2020,9,7556,15567421.67,10483290.29
Sucursal Norte,7 Up,2020,9,947,1346477.68,879350.5
Sucursal Norte,Pepsi,2020,9,7752,13878692.56,8368078.6
Sucursal Centro,Coca Cola,2020,9,9379,17987411.49,11267637.34
Sucursal Centro,Fanta,2020,9,2046,3900823.68,2695818.11
Sucursal Centro,Sprite,2020,9,7251,14010759.43,8488812.99
Sucursal Centro,7 Up,2020,9,950,1475793.11,1051648.78
Sucursal Centro,Pepsi,2020,9,8455,13142891.0,8554700.98
Sucursal Sur,Coca Cola,2020,9,10981,20737233.81,13818227.59
Sucursal Sur,Fanta,2020,9,2052,3439210.99,2226571.12
Sucursal Sur,Sprite,2020,9,8348,15266626.48,9580209.03
Sucursal Sur,7 Up,2020,9,907,1464819.41,936359.56
Sucursal Sur,Pepsi,2020,9,8698,14535491.01,9594664.73
Sucursal Norte,Coca Cola,2020,10,10033,18201232.55,14142107.09
Sucursal Norte,Fanta,2020,10,2012,3748133.93,2322305.09
Sucursal Norte,Sprite,2020,10,7403,13347787.04,8873750.67
Sucursal Norte,7 Up,2020,10,1033,1668430.53,1061035.28
Sucursal Norte,Pepsi,2020,10,7372,11322166.3,8023730.52
Sucursal Centro,Coca Cola,2020,10,9412,17739642.24,13847672.33
Sucursal Centro,Fanta,2020,10,2138,3690310.59,2266508.93
Sucursal Centro,Sprite,2020,10,7664,15125528.46,10643606.85
Sucursal Centro,7 Up,2020,10,971,1539561.62,1164129.34
Sucursal Centro,Pepsi,2020,10,7674,13251548.73,8352103.96
Sucursal Sur,Coca Cola,2020,10,10430,19909215.13,13172914.42
Sucursal Sur,Fanta,2020,10,1956,3243719.43,2165682.9
Sucursal Sur,Sprite,2020,10,8232,16378490.45,9979885.71
Sucursal Sur,7 Up,2020,10,1008,1366564.09,1055536.75
Sucursal Sur,Pepsi,2020,10,7582,12291036.5,7754937.68
Sucursal Norte,Coca Cola,2020,11,9673,17632224.1,12711439.04
Sucursal Norte,Fanta,2020,11,2193,3729509.02,2800990.5
Sucursal Norte,Sprite,2020,11,8521,15769388.36,10538269.38
Sucursal Norte,7 Up,2020,11,1077,1750271.94,1107541.14
Sucursal Norte,Pepsi,2020,11,7782,12406231.81,8084511.13
Sucursal Centro,Coca Cola,2020,11,10769,20448574.9,13961225.77
Sucursal Centro,Fanta,2020,11,2112,3751359.37,2849292.73
Sucursal Centro,Sprite,2020,11,7296,13115905.4,9289581.05
Sucursal Centro,7 Up,2020,11,936,1531694.51,965448.78
Sucursal Centro,Pepsi,2020,11,8661,14444607.41,10097012.26
Sucursal Sur,Coca Cola,2020,11,10246,19682041.92,12906417.57
Sucursal Sur,Fanta,2020,11,2053,4001955.68,3144392.89
Sucursal Sur,Sprite,2020,11,7819,14860935.04,10186028.05
Sucursal Sur,7 Up,2020,11,1026,1389792.1,902242.81
Sucursal Sur,Pepsi,2020,11,7424,13596129.9,8490780.91
Sucursal Norte,Coca Cola,2020,12,9232,17764004.49,11341164.11
Sucursal Norte,Fanta,2020,12,1932,3766059.33,2532072.63
Sucursal Norte,Sprite,2020,12,8672,15624618.71,11816230.89
Sucursal Norte,7 Up,2020,12,1002,1391291.24,892515.9
Sucursal Norte,Pepsi,2020,12,7894,12249618.4,8324530.81
Sucursal Centro,Coca Cola,2020,12,9988,18071124.59,11871076.86
Sucursal Centro,Fanta,2020,12,1953,3811266.76,3001673.78
Sucursal Centro,Sprite,2020,12,7498,15365069.04,10988022.55
Sucursal Centro,7 Up,2020,12,963,1329788.77,846062.58
Sucursal Centro,Pepsi,2020,12,8098,12408916.87,9679864.92
Sucursal Sur,Coca Cola,2020,12,9424,20564212.9,12777758.13
Sucursal Sur,Fanta,2020,12,2151,3788017.25,2878160.23
Sucursal Sur,Sprite,2020,12,7621,14605590.59,10090623.67
Sucursal Sur,7 Up,2020,12,1032,1657455.21,1035021.42
Sucursal Sur,Pepsi,2020,12,8237,15345739.25,11221549.37
Sucursal Norte,Coca Cola,2021,1,11012,26267504.05,19616639.17
Sucursal Norte,Fanta,2021,1,1543,2329629.17,1778836.1
Sucursal Norte,Sprite,2021,1,7295,15429720.07,10537461.29
Sucursal Norte,7 Up,2021,1,1453,2384608.42,1522498.67
Sucursal Norte,Pepsi,2021,1,7331,14200309.23,10438465.42
Sucursal Centro,Coca Cola,2021,1,11771,32787337.22,22285397.3
Sucursal Centro,Fanta,2021,1,1537,2055906.73,1253376.88
Sucursal Centro,Sprite,2021,1,7710,16825289.96,12333265.17
Sucursal Centro,7 Up,2021,1,1482,2389073.74,1736628.67
Sucursal Centro,Pepsi,2021,1,8489,15778175.12,10569533.57
Sucursal Sur,Coca Cola,2021,1,10830,28466310.59,20329561.47
Sucursal Sur,Fanta,2021,1,1533,2372088.26,1688883.95
Sucursal Sur,Sprite,2021,1,6687,14460457.1,10072226.92
Sucursal Sur,7 Up,2021,1,1395,1968605.73,1540244.92
Sucursal Sur,Pepsi,2021,1,8307,16301066.98,13025306.43
Sucursal Norte,Coca Cola,2021,2,12032,28745869.2,19219343.76
Sucursal Norte,Fanta,2021,2,1466,2198121.09,1643149.63
Sucursal Norte,Sprite,2021,2,7043,14588716.4,10764944.63
Sucursal Norte,7 Up,2021,2,1476,2304992.41,1481551.2
Sucursal Norte,Pepsi,2021,2,8724,18183369.67,13797022.64
Sucursal Centro,Coca Cola,2021,2,10228,26404207.2,20755025.7
Sucursal Centro,Fanta,2021,2,1488,2087537.35,1422588.86
Sucursal Centro,Sprite,2021,2,6720,14322440.33,10533860.76
Sucursal Centro,7 Up,2021,2,1566,2136627.07,1348819.48
Sucursal Centro,Pepsi,2021,2,7493,14632197.86,11574434.4
Sucursal Sur,Coca Cola,2021,2,11654,29070197.12,17626788.99
Sucursal Sur,Fanta,2021,2,1742,2757279.37,2138951.65
Sucursal Sur,Sprite,2021,2,6632,13636674.57,10087606.33
Sucursal Sur,7 Up,2021,2,1535,2230878.9,1446745.87
Sucursal Sur,Pepsi,2021,2,7664,16929853.8,10757044.1
Sucursal Norte,Coca Cola,2021,3,10953,27816718.99,21187281.4
Sucursal Norte,Fanta,2021,3,1708,2318953.71,1541705.52
Sucursal Norte,Sprite,2021,3,6670,14802449.75,9364316.77
Sucursal Norte,7 Up,2021,3,1543,2280029.82,1372043.71
Sucursal Norte,Pepsi,2021,3,8113,16852654.71,13134942.43
Sucursal Centro,Coca Cola,2021,3,10019,26740090.7,17582110.35
Sucursal Centro,Fanta,2021,3,1505,2133119.23,1297166.78
Sucursal Centro,Sprite,2021,3,7596,15604818.38,11713912.76
Sucursal Centro,7 Up,2021,3,1644,2299277.66,1630508.24
Sucursal Centro,Pepsi,2021,3,8150,15924565.79,12387233.95
Sucursal Sur,Coca Cola,2021,3,10529,29598913.84,18182086.44
Sucursal Sur,Fanta,2021,3,1673,2602166.4,1775364.23
Sucursal Sur,Sprite,2021,3,6837,13739139.73,9138494.8
Sucursal Sur,7 Up,2021,3,1376,1986828.53,1425642.02
Sucursal Sur,Pepsi,2021,3,8502,18410305.01,14085313.42
Sucursal Norte,Coca Cola,2021,4,11006,26741761.05,19240830.86
Sucursal Norte,Fanta,2021,4,1449,2203735.77,1698479.34
Sucursal Norte,Sprite,2021,4,6543,13145791.65,8059339.66
Sucursal Norte,7 Up,2021,4,1595,2540365.99,1846364.33
Sucursal Norte,Pepsi,2021,4,7943,15125011.22,10864149.13
Sucursal Centro,Coca Cola,2021,4,10296,24565552.24,18087773.69
Sucursal Centro,Fanta,2021,4,1688,2542639.17,1902838.23
Sucursal Centro,Sprite,2021,4,6927,15924925.68,10707258.51
Sucursal Centro,7 Up,2021,4,1458,2092962.48,1499258.43
Sucursal Centro,Pepsi,2021,4,7938,16225463.25,11407184.86
Sucursal Sur,Coca Cola,2021,4,10592,25001786.92,15729152.86
Sucursal Sur,Fanta,2021,4,1746,2304264.4,1723469.28
Sucursal Sur,Sprite,2021,4,7880,17060195.03,11815081.99
Sucursal Sur,7 Up,2021,4,1417,2081941.71,1289226.82
Sucursal Sur,Pepsi,2021,4,7363,14676753.54,9848948.75
Sucursal Norte,Coca Cola,2021,5,10902,27798852.41,17400209.28
Sucursal Norte,Fanta,2021,5,1501,2097827.89,1432685.27
Sucursal Norte,Sprite,2021,5,7836,16183095.33,10485169.92
Sucursal Norte,7 Up,2021,5,1630,2672211.06,1992962.39
Sucursal Norte,Pepsi,2021,5,7232,16202571.82,12737644.66
Sucursal Centro,Coca Cola,2021,5,11811,27820479.8,20148043.38
Sucursal Centro,Fanta,2021,5,1591,2346642.01,1854158.49
Sucursal Centro,Sprite,2021,5,6814,15325828.81,10787527.79
Sucursal Centro,7 Up,2021,5,1428,1959518.34,1195212.23
Sucursal Centro,Pepsi,2021,5,7957,17315477.48,13478229.94
Sucursal Sur,Coca Cola,2021,5,10294,25893259.54,19129766.76
Sucursal Sur,Fanta,2021,5,1590,2358819.15,1716020.87
Sucursal Sur,Sprite,2021,5,7534,14547918.15,9227131.76
Sucursal Sur,7 Up,2021,5,1458,2317038.0,1508393.82
Sucursal Sur,Pepsi,2021,5,8694,17942543.36,11679564.26
Sucursal Norte,Coca Cola,2021,6,10166,27534800.52,17411593.26
Sucursal Norte,Fanta,2021,6,1618,2433699.14,1590972.86
Sucursal Norte,Sprite,2021,6,7034,14548152.81,10367936.21
Sucursal Norte,7 Up,2021,6,1642,2321439.64,1502245.46
Sucursal Norte,Pepsi,2021,6,8502,17173132.62,11127110.0
Sucursal Centro,Coca Cola,2021,6,10910,26405207.37,20275508.92
Sucursal Centro,Fanta,2021,6,1448,2079944.08,1454108.73
Sucursal Centro,Sprite,2021,6,7809,14753661.32,8972269.35
Sucursal Centro,7 Up,2021,6,1393,1979247.13,1231189.82
Sucursal Centro,Pepsi,2021,6,7695,15635866.91,11331212.11
Sucursal Sur,Coca Cola,2021,6,10092,26698877.18,20720674.37
Sucursal Sur,Fanta,2021,6,1752,2558138.25,2044108.38
Sucursal Sur,Sprite,2021,6,7445,16120968.76,10006359.71
Sucursal Sur,7 Up,2021,6,1406,1911770.38,1245464.12
Sucursal Sur,Pepsi,2021,6,7739,16045758.19,9740390.47
Sucursal Norte,Coca Cola,2021,7,9945,24501966.77,15738842.22
Sucursal Norte,Fanta,2021,7,1470,2070850.31,1460056.7
Sucursal Norte,Sprite,2021,7,7898,16774142.39,13048787.88
Sucursal Norte,7 Up,2021,7,1545,2281778.5,1687543.66
Sucursal Norte,Pepsi,2021,7,7810,17474356.21,11200197.08
Sucursal Centro,Coca Cola,2021,7,11368,29415914.9,21148174.94
Sucursal Centro,Fanta,2021,7,1663,2435829.49,1658878.83
Sucursal Centro,Sprite,2021,7,6535,12904372.39,8512966.87
Sucursal Centro,7 Up,2021,7,1383,2169764.68,1728925.57
Sucursal Centro,Pepsi,2021,7,8479,17914034.99,11912654.99
Sucursal Sur,Coca Cola,2021,7,10207,26661299.85,20451985.1
