Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,5383,16117235.97,12789599.34
Sucursal Norte,Merlot,2020,1,4060,9505266.07,6337142.63
Sucursal Norte,Pinot Noir,2020,1,2927,10726799.08,6891134.81
Sucursal Norte,Chardonnay,2020,1,4829,13999003.67,10772889.05
Sucursal Norte,Sauvignon Blanc,2020,1,3640,9727507.31,7487353.44
Sucursal Centro,Cabernet Sauvignon,2020,1,5109,14609363.0,10222960.85
Sucursal Centro,Merlot,2020,1,3756,9496953.76,6690124.86
Sucursal Centro,Pinot Noir,2020,1,2930,10733459.13,7805421.93
Sucursal Centro,Chardonnay,2020,1,4738,12447451.06,7810831.1
Sucursal Centro,Sauvignon Blanc,2020,1,3290,9196532.48,5907560.42
Sucursal Sur,Cabernet Sauvignon,2020,1,4842,14821034.16,10511694.84
Sucursal Sur,Merlot,2020,1,4399,11344401.01,7269377.8
Sucursal Sur,Pinot Noir,2020,1,3085,11053428.86,7296052.41
Sucursal Sur,Chardonnay,2020,1,4462,13470877.66,9981096.97
Sucursal Sur,Sauvignon Blanc,2020,1,3613,9298585.85,6848941.59
Sucursal Norte,Cabernet Sauvignon,2020,2,5135,15231958.45,11847702.69
Sucursal Norte,Merlot,2020,2,3901,9638144.59,6419043.01
Sucursal Norte,Pinot Noir,2020,2,3062,11621855.88,7743380.58
Sucursal Norte,Chardonnay,2020,2,4164,11454482.15,8549390.63
Sucursal Norte,Sauvignon Blanc,2020,2,3238,7770231.92,4781734.15
Sucursal Centro,Cabernet Sauvignon,2020,2,5177,14536469.31,10087589.92
Sucursal Centro,Merlot,2020,2,3999,10849577.99,6732547.7
Sucursal Centro,Pinot Noir,2020,2,2862,10428268.24,6338363.72
Sucursal Centro,Chardonnay,2020,2,4589,12154522.24,7954270.59
Sucursal Centro,Sauvignon Blanc,2020,2,3159,7497496.99,5454622.87
Sucursal Sur,Cabernet Sauvignon,2020,2,5349,14446401.76,10470012.55
Sucursal Sur,Merlot,2020,2,4113,10949656.71,7356949.69
Sucursal Sur,Pinot Noir,2020,2,2998,10574441.27,7293529.09
Sucursal Sur,Chardonnay,2020,2,4089,11986017.21,7694148.75
Sucursal Sur,Sauvignon Blanc,2020,2,3338,8181947.8,4952589.91
Sucursal Norte,Cabernet Sauvignon,2020,3,5201,16686889.43,12399505.57
Sucursal Norte,Merlot,2020,3,3832,8825831.74,5437294.14
Sucursal Norte,Pinot Noir,2020,3,3045,10315480.88,6886773.16
Sucursal Norte,Chardonnay,2020,3,4496,12748547.65,8142915.89
Sucursal Norte,Sauvignon Blanc,2020,3,3365,8851678.63,6667728.97
Sucursal Centro,Cabernet Sauvignon,2020,3,5445,15864678.84,10574278.2
Sucursal Centro,Merlot,2020,3,3906,9167079.88,6113595.76
Sucursal Centro,Pinot Noir,2020,3,3268,11750967.76,8734564.6
Sucursal Centro,Chardonnay,2020,3,4287,11165363.76,6773499.54
Sucursal Centro,Sauvignon Blanc,2020,3,3677,8851293.15,6690168.95
Sucursal Sur,Cabernet Sauvignon,2020,3,4506,13501953.92,10569608.32
Sucursal Sur,Merlot,2020,3,3877,9441450.95,6594899.77
Sucursal Sur,Pinot Noir,2020,3,2930,10977954.98,7762983.36
Sucursal Sur,Chardonnay,2020,3,4259,10846316.99,7990529.81
Sucursal Sur,Sauvignon Blanc,2020,3,3593,8710667.57,5822798.0
Sucursal Norte,Cabernet Sauvignon,2020,4,5482,17606490.67,12785801.96
Sucursal Norte,Merlot,2020,4,3911,9121257.55,5541702.71
Sucursal Norte,Pinot Noir,2020,4,2783,9884612.75,6075926.07
Sucursal Norte,Chardonnay,2020,4,4558,13547412.15,8308885.92
Sucursal Norte,Sauvignon Blanc,2020,4,3239,7817074.08,5372403.24
Sucursal Centro,Cabernet Sauvignon,2020,4,5300,15092120.11,11731145.32
Sucursal Centro,Merlot,2020,4,3838,9253721.24,7156018.22
Sucursal Centro,Pinot Noir,2020,4,3255,11137518.73,8389979.59
Sucursal Centro,Chardonnay,2020,4,4149,10984148.28,7129693.28
Sucursal Centro,Sauvignon Blanc,2020,4,3190,8125030.51,6470356.77
Sucursal Sur,Cabernet Sauvignon,2020,4,5362,15031235.54,11441074.57
Sucursal Sur,Merlot,2020,4,4021,9748520.98,6294719.31
Sucursal Sur,Pinot Noir,2020,4,2966,10828615.05,6757772.52
Sucursal Sur,Chardonnay,2020,4,4837,13424761.12,8766412.36
Sucursal Sur,Sauvignon Blanc,2020,4,3454,9605352.71,7670979.32
Sucursal Norte,Cabernet Sauvignon,2020,5,5426,17705086.7,11375003.9
Sucursal Norte,Merlot,2020,5,3926,9088385.86,6523173.1
Sucursal Norte,Pinot Noir,2020,5,2777,9539650.23,5876729.96
Sucursal Norte,Chardonnay,2020,5,4788,14043582.07,9816515.76
Sucursal Norte,Sauvignon Blanc,2020,5,3419,9117500.03,6763385.13
Sucursal Centro,Cabernet Sauvignon,2020,5,4716,14097648.11,9001138.42
Sucursal Centro,Merlot,2020,5,3706,9728737.57,7369507.22
Sucursal Centro,Pinot Noir,2020,5,3273,12106368.88,8618912.04
Sucursal Centro,Chardonnay,2020,5,4506,12958821.51,8553273.07
Sucursal Centro,Sauvignon Blanc,2020,5,3212,8269735.02,6206186.18
Sucursal Sur,Cabernet Sauvignon,2020,5,5164,16291349.28,12062113.86
Sucursal Sur,Merlot,2020,5,3654,8795792.7,5775515.08
Sucursal Sur,Pinot Noir,2020,5,3010,10318873.62,7051086.6
Sucursal Sur,Chardonnay,2020,5,4137,11895705.09,7249391.54
Sucursal Sur,Sauvignon Blanc,2020,5,3337,9184366.25,5947844.6
Sucursal Norte,Cabernet Sauvignon,2020,6,5328,15271291.46,9234381.26
Sucursal Norte,Merlot,2020,6,4238,10506690.43,8252727.45
Sucursal Norte,Pinot Noir,2020,6,3010,10839933.01,7172253.0
Sucursal Norte,Chardonnay,2020,6,4088,12542177.51,9232233.66
Sucursal Norte,Sauvignon Blanc,2020,6,3408,8122714.76,5248302.05
Sucursal Centro,Cabernet Sauvignon,2020,6,4886,15295398.31,11214471.72
Sucursal Centro,Merlot,2020,6,4214,10872243.07,7952427.26
Sucursal Centro,Pinot Noir,2020,6,2825,9816159.9,7802952.43
Sucursal Centro,Chardonnay,2020,6,4380,11934758.4,8678879.56
Sucursal Centro,Sauvignon Blanc,2020,6,3499,8198015.06,4990487.51
Sucursal Sur,Cabernet Sauvignon,2020,6,5222,15139933.86,11418590.86
Sucursal Sur,Merlot,2020,6,3722,9444893.95,6476130.37
Sucursal Sur,Pinot Noir,2020,6,3166,11070961.99,8317296.98
Sucursal Sur,Chardonnay,2020,6,4512,12066605.6,8606806.83
Sucursal Sur,Sauvignon Blanc,2020,6,3443,9437951.34,6959479.35
Sucursal Norte,Cabernet Sauvignon,2020,7,4978,13567000.91,8373467.16
Sucursal Norte,Merlot,2020,7,4189,10149220.96,6200116.62
Sucursal Norte,Pinot Noir,2020,7,3110,10307172.64,7422470.31
Sucursal Norte,Chardonnay,2020,7,4531,13612841.06,8717667.69
Sucursal Norte,Sauvignon Blanc,2020,7,3845,9352039.03,6375051.72
Sucursal Centro,Cabernet Sauvignon,2020,7,4792,14925870.56,9959976.28
Sucursal Centro,Merlot,2020,7,4116,10903320.51,8536950.7
Sucursal Centro,Pinot Noir,2020,7,2989,9605827.17,7474865.15
Sucursal Centro,Chardonnay,2020,7,4078,10317681.22,8096655.36
Sucursal Centro,Sauvignon Blanc,2020,7,3828,10613901.09,6686740.21
Sucursal Sur,Cabernet Sauvignon,2020,7,4819,15473798.17,10807571.88
Sucursal Sur,Merlot,2020,7,4127,10904653.17,7567606.98
Sucursal Sur,Pinot Noir,2020,7,2811,9337937.21,7163904.17
Sucursal Sur,Chardonnay,2020,7,4814,12831360.08,7711207.41
Sucursal Sur,Sauvignon Blanc,2020,7,3518,9522936.02,7478990.7
Sucursal Norte,Cabernet Sauvignon,2020,8,5031,13589567.8,10742853.27
Sucursal Norte,Merlot,2020,8,3985,10492350.67,6988707.04
Sucursal Norte,Pinot Noir,2020,8,3101,9794410.17,7780987.79
Sucursal Norte,Chardonnay,2020,8,4203,12415155.15,8049847.35
Sucursal Norte,Sauvignon Blanc,2020,8,3503,9471678.51,7399862.76
Sucursal Centro,Cabernet Sauvignon,2020,8,4516,14672606.47,9076352.67
Sucursal Centro,Merlot,2020,8,4333,10204545.85,6983706.69
Sucursal Centro,Pinot Noir,2020,8,3017,10606478.77,7102443.03
Sucursal Centro,Chardonnay,2020,8,4315,11637187.65,8658314.99
Sucursal Centro,Sauvignon Blanc,2020,8,3412,8794443.2,5869539.97
Sucursal Sur,Cabernet Sauvignon,2020,8,5068,13916789.24,9731669.92
Sucursal Sur,Merlot,2020,8,3984,10451929.43,7127002.19
Sucursal Sur,Pinot Noir,2020,8,3052,10857861.86,6618079.96
Sucursal Sur,Chardonnay,2020,8,4561,13822862.34,8688278.2
Sucursal Sur,Sauvignon Blanc,2020,8,3155,8923536.56,6472734.69
Sucursal Norte,Cabernet Sauvignon,2020,9,4763,13450852.55,8274273.66
Sucursal Norte,Merlot,2020,9,4392,10220584.39,8084356.66
